,index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace,location_numeric,margin,eigen_opp_rating,eigen_team_rating,eigen_opp_game_score,eigen_team_game_score,em_opp_rating,em_team_rating,em_opp_game_score,em_team_game_score,adj_em_opp_rating,adj_em_team_rating,adj_em_opp_game_score,adj_em_team_game_score,team_most_recent_gs1,team_most_recent_gs2,team_most_recent_gs3,opp_most_recent_gs1,opp_most_recent_gs2,opp_most_recent_gs3,team_rating,opp_rating,team_rating*opp_rating
4579,2022-02-22-18-dartmouth,DARTMOUTH,YALE,61,66,69.7,Home,2022-02-22,True,1,-5,47.9462566949657,47.92196919928596,47.9462566949657,-47.92196919928596,-0.08637189551023994,-3.587326170267602,-0.08637189551023994,3.587326170267602,-0.20363707569138967,-3.736065615892823,-0.20363707569138967,3.736065615892823,-123.29016532446316,-123.29016532446316,-59.77704985428517,0.40727415138277934,0.40727415138277934,-2.6472819839880657,-3.736065615892823,-0.20363707569138967,0.7608014766115652
4580,2022-02-19-15-davidson,DAVIDSON,SAINT-LOUIS,79,58,67.6,Home,2022-02-19,True,1,21,48.051372430595386,48.056202805305794,-1201.2843107648846,1201.4050701326448,15.065679548973776,15.761960516516638,-376.6419887243444,394.04901291291594,15.685121143571774,16.02985943366528,-392.12802858929433,400.74648584163197,240.4478915049792,-176.32845377031808,160.2985943366528,-392.12802858929433,470.55363430715323,470.55363430715323,16.02985943366528,15.685121143571774,251.43028713146674
4581,2022-02-23-19-duquesne,DAVIDSON,DUQUESNE,74,50,61.8,Away,2022-02-23,True,-1,24,47.88900226373137,48.056202805305794,-957.7800452746274,961.1240561061159,-8.339390173794925,15.761960516516638,166.7878034758985,315.23921033033275,-9.957143558503532,16.02985943366528,199.14287117007063,320.5971886733056,400.74648584163197,400.74648584163197,240.4478915049792,199.14287117007063,298.71430675510595,298.71430675510595,16.02985943366528,-9.957143558503532,-159.6116116036373
4582,2022-02-19-13-saint-josephs,DAYTON,SAINT-JOSEPHS,74,62,64.5,Away,2022-02-19,True,-1,12,47.974856946062374,48.05765936465081,-383.798855568499,384.4612749172065,4.036250405955855,15.971918254960826,-32.29000324764684,127.77534603968661,2.320553315668408,14.535431764063098,-18.564426525347265,116.28345411250478,116.28345411250478,29.070863528126196,436.06295292189293,-2.320553315668408,-2.320553315668408,-13.923319894010449,14.535431764063098,2.320553315668408,33.730244374768525
4583,2022-02-23-19-dayton,DAYTON,MASSACHUSETTS,82,61,59.0,Home,2022-02-23,True,1,21,47.94646755587982,48.05765936465081,-1198.6616888969954,1201.4414841162702,-0.055977060718248595,15.971918254960826,1.3994265179562149,399.29795637402066,-0.502560307650176,14.535431764063098,12.5640076912544,363.38579410157746,363.38579410157746,116.28345411250478,116.28345411250478,12.5640076912544,-5.02560307650176,-5.02560307650176,14.535431764063098,-0.502560307650176,-7.304931059175691
4584,2022-02-19-16-north-carolina-central,DELAWARE-STATE,NORTH-CAROLINA-CENTRAL,79,84,70.7,Away,2022-02-19,True,-1,-5,47.821444893002464,47.74220629799972,430.3930040370222,-429.6798566819975,-18.077539753460314,-29.499495378638585,-162.69785778114283,265.49545840774726,-16.99545478640627,-28.360222340358103,-152.95909307765643,255.24200106322292,-28.360222340358103,482.12377978608777,113.44088936143241,16.99545478640627,-101.97272871843762,169.9545478640627,-28.360222340358103,-16.99545478640627,481.9948765179852
4585,2022-02-21-19-south-carolina-state,DELAWARE-STATE,SOUTH-CAROLINA-STATE,74,79,76.1,Away,2022-02-21,True,-1,-5,47.83245350371034,47.74220629799972,430.49208153339305,-429.6798566819975,-16.490688510126006,-29.499495378638585,-148.41619659113405,265.49545840774726,-16.47620988359109,-28.360222340358103,-148.2858889523198,255.24200106322292,255.24200106322292,255.24200106322292,-28.360222340358103,-181.238308719502,-181.238308719502,230.66693837027526,-28.360222340358103,-16.47620988359109,467.268975625049
4586,2022-02-19-16-william-mary,DELAWARE,WILLIAM-MARY,73,69,71.5,Away,2022-02-19,True,-1,4,47.819879469348805,47.936035471719215,0.0,0.0,-18.3031898865309,-1.5597240965718129,-0.0,-0.0,-17.339385419394883,-1.4188407686510185,-0.0,-0.0,-7.094203843255093,-7.094203843255093,-35.471019216275465,190.73323961334373,190.73323961334373,190.73323961334373,-1.4188407686510185,-17.339385419394883,24.6018269363905
4587,2022-02-24-19-delaware,DELAWARE,COLLEGE-OF-CHARLESTON,96,99,84.3,Home,2022-02-24,True,1,-3,47.945799672969414,47.936035471719215,-47.945799672969414,47.936035471719215,-0.15224995608207337,-1.5597240965718129,0.15224995608207337,-1.5597240965718129,-0.8262163988512032,-1.4188407686510185,0.8262163988512032,-1.4188407686510185,-1.4188407686510185,-0.0,-0.0,0.8262163988512032,-5.783514791958423,-5.783514791958423,-1.4188407686510185,-0.8262163988512032,1.1722695104181178
4588,2022-02-24-20-st-thomas-mn,DENVER,ST-THOMAS-MN,91,80,65.1,Away,2022-02-24,True,-1,11,47.841768020171344,47.85324536856153,-334.8923761411994,334.9727175799307,-15.14803479846023,-13.493616720971602,106.03624358922161,-94.45531704680121,-14.80385256305616,-13.055164939733812,103.62696794139313,-91.38615457813668,91.38615457813668,91.38615457813668,52.22065975893525,-88.82311537833696,-88.82311537833696,340.4886089502917,-13.055164939733812,-14.80385256305616,193.26673695419933
