
index,team_abbr,opp_abbr,pf,pa,pace,location,datetime,true_pace
2021-12-18-20-alabama,ALABAMA,jacksonville-state,65,59,64.6,Home,2021-12-18,True

2021-12-21-19-alabama,ALABAMA,davidson,78,79,67.6,Neutral,2021-12-21,True

2021-12-29-21-alabama,ALABAMA,tennessee,73,68,74.2,Home,2021-12-29,True

2022-01-05-19-florida,ALABAMA,florida,83,70,74.2,Away,2022-01-05,True

2022-01-08-15-missouri,ALABAMA,missouri,86,92,71.7,Away,2022-01-08,True

2022-01-11-21-alabama,ALABAMA,auburn,77,81,82.6,Home,2022-01-11,True

2022-01-15-18-mississippi-state,ALABAMA,mississippi-state,76,78,72.2,Away,2022-01-15,True

2022-01-19-19-alabama,ALABAMA,louisiana-state,70,67,76.7,Home,2022-01-19,True

2022-01-22-18-alabama,ALABAMA,missouri,86,76,68.1,Home,2022-01-22,True

2022-01-25-18-georgia,ALABAMA,georgia,76,82,74.4,Away,2022-01-25,True

2022-01-29-16-alabama,ALABAMA,baylor,87,78,69.4,Home,2022-01-29,True

2022-02-01-21-auburn,ALABAMA,auburn,81,100,80.0,Away,2022-02-01,True

2022-02-05-20-alabama,ALABAMA,kentucky,55,66,76.7,Home,2022-02-05,True

2021-11-09-19-albany-ny,ALBANY-NY,towson,56,77,69.6,Home,2021-11-09,True

2021-11-13-16-la-salle,ALBANY-NY,la-salle,64,67,72.5,Away,2021-11-13,True

2021-11-17-19-albany-ny,ALBANY-NY,harvard,53,60,65.3,Home,2021-11-17,True

2021-11-20-19-eastern-kentucky,ALBANY-NY,eastern-kentucky,64,77,74.9,Away,2021-11-20,True

2021-11-22-19-kentucky,ALBANY-NY,kentucky,61,86,76.3,Away,2021-11-22,True

2021-11-24-12-eastern-illinois,ALBANY-NY,eastern-illinois,64,62,65.8,Neutral,2021-11-24,True

2021-12-01-20-kansas-state,ALBANY-NY,kansas-state,43,71,64.2,Away,2021-12-01,True

2021-12-07-19-yale,ALBANY-NY,yale,52,71,70.1,Away,2021-12-07,True

2021-12-11-19-albany-ny,ALBANY-NY,columbia,60,59,69.9,Home,2021-12-11,True

2021-12-13-20-boston-college,ALBANY-NY,boston-college,61,57,60.8,Away,2021-12-13,True

2021-12-18-14-albany-ny,ALBANY-NY,niagara,58,66,64.1,Neutral,2021-12-18,True

2021-12-21-19-lehigh,ALBANY-NY,lehigh,68,52,66.8,Away,2021-12-21,True

2022-01-06-19-albany-ny,ALBANY-NY,binghamton,79,88,72.3,Home,2022-01-06,True

2022-01-08-12-new-hampshire,ALBANY-NY,new-hampshire,62,64,66.3,Away,2022-01-08,True

2022-01-12-19-albany-ny,ALBANY-NY,massachusetts-lowell,57,47,69.9,Home,2022-01-12,True

2022-01-15-16-albany-ny,ALBANY-NY,njit,71,56,70.8,Home,2022-01-15,True

2022-01-19-19-maryland-baltimore-county,ALBANY-NY,maryland-baltimore-county,66,54,64.4,Away,2022-01-19,True

2022-01-22-19-albany-ny,ALBANY-NY,stony-brook,75,86,71.3,Home,2022-01-22,True

2022-01-26-19-massachusetts-lowell,ALBANY-NY,massachusetts-lowell,64,62,62.5,Away,2022-01-26,True

2022-01-29-19-njit,ALBANY-NY,njit,64,53,61.8,Away,2022-01-29,True

2022-01-31-19-vermont,ALBANY-NY,vermont,61,73,60.1,Away,2022-01-31,True

2022-02-02-19-albany-ny,ALBANY-NY,maryland-baltimore-county,53,59,69.1,Home,2022-02-02,True

2022-02-05-16-hartford,ALBANY-NY,hartford,71,52,62.3,Away,2022-02-05,True

2021-11-09-15-washington-state,ALCORN-STATE,washington-state,67,85,71.1,Away,2021-11-09,True

2021-11-10-22-seattle,ALCORN-STATE,seattle,66,69,73.6,Away,2021-11-10,True

2021-11-13-20-portland,ALCORN-STATE,portland,58,62,70.0,Away,2021-11-13,True

2021-11-15-21-gonzaga,ALCORN-STATE,gonzaga,57,84,71.0,Away,2021-11-15,True

2021-11-26-20-southern-illinois,ALCORN-STATE,southern-illinois,59,62,60.6,Away,2021-11-26,True

2021-11-28-14-milwaukee,ALCORN-STATE,milwaukee,61,57,67.6,Away,2021-11-28,True

2021-12-04-14-tulane,ALCORN-STATE,tulane,64,85,67.9,Away,2021-12-04,True

2021-12-06-20-houston,ALCORN-STATE,houston,45,77,69.2,Away,2021-12-06,True

2021-12-14-20-wichita-state,ALCORN-STATE,wichita-state,63,82,70.8,Away,2021-12-14,True

2021-12-16-20-tulsa,ALCORN-STATE,tulsa,62,83,70.9,Away,2021-12-16,True

2021-12-20-19-baylor,ALCORN-STATE,baylor,57,94,71.6,Away,2021-12-20,True

2021-12-22-20-oklahoma,ALCORN-STATE,oklahoma,48,72,65.0,Away,2021-12-22,True

2022-01-05-20-jackson-state,ALCORN-STATE,jackson-state,65,50,62.1,Away,2022-01-05,True

2022-01-08-17-alabama-am,ALCORN-STATE,alabama-am,78,71,76.5,Away,2022-01-08,True

2022-01-10-21-alabama-state,ALCORN-STATE,alabama-state,70,60,71.5,Away,2022-01-10,True

2022-01-15-16-alcorn-state,ALCORN-STATE,texas-southern,73,72,68.0,Home,2022-01-15,True

2022-01-17-20-alcorn-state,ALCORN-STATE,prairie-view,73,74,67.9,Home,2022-01-17,True

2022-01-22-15-florida-am,ALCORN-STATE,florida-am,68,70,62.0,Away,2022-01-22,True

2022-01-24-19-bethune-cookman,ALCORN-STATE,bethune-cookman,70,67,67.3,Away,2022-01-24,True

2022-01-29-16-alcorn-state,ALCORN-STATE,southern,68,64,69.3,Home,2022-01-29,True

2022-01-31-20-alcorn-state,ALCORN-STATE,grambling,73,80,75.7,Home,2022-01-31,True

2022-02-05-18-arkansas-pine-bluff,ALCORN-STATE,arkansas-pine-bluff,70,64,70.5,Away,2022-02-05,True

2022-02-07-20-mississippi-valley-state,ALCORN-STATE,mississippi-valley-state,79,71,72.6,Away,2022-02-07,True

2021-11-09-20-american,AMERICAN,marist,77,73,69.8,Home,2021-11-09,True

2021-11-12-19-william-mary,AMERICAN,william-mary,74,62,77.4,Away,2021-11-12,True

2021-11-16-20-georgetown,AMERICAN,georgetown,57,79,76.0,Away,2021-11-16,True

2021-11-19-17-longwood,AMERICAN,longwood,42,82,65.4,Away,2021-11-19,True

2021-11-20-19-american,AMERICAN,western-carolina,79,80,70.4,Neutral,2021-11-20,True

2021-11-23-19-maryland-baltimore-county,AMERICAN,maryland-baltimore-county,67,98,68.8,Away,2021-11-23,True

2021-11-28-14-duquesne,AMERICAN,duquesne,79,88,71.5,Away,2021-11-28,True

2021-12-01-18-stony-brook,AMERICAN,stony-brook,57,80,69.9,Away,2021-12-01,True

2021-12-04-17-howard,AMERICAN,howard,56,90,75.0,Away,2021-12-04,True

2021-12-08-19-american,AMERICAN,saint-francis-pa,83,73,66.2,Home,2021-12-08,True

2021-12-11-16-mount-st-marys,AMERICAN,mount-st-marys,72,66,64.3,Away,2021-12-11,True

2021-12-21-19-george-mason,AMERICAN,george-mason,44,67,59.0,Away,2021-12-21,True

2022-01-01-16-american,AMERICAN,lehigh,61,63,64.9,Home,2022-01-01,True

2022-01-10-19-american,AMERICAN,boston-university,53,79,65.8,Home,2022-01-10,True

2022-01-16-14-american,AMERICAN,bucknell,63,55,59.6,Home,2022-01-16,True

2022-01-19-18-army,AMERICAN,army,66,76,69.1,Away,2022-01-19,True

2022-01-22-14-loyola-md,AMERICAN,loyola-md,73,78,56.8,Away,2022-01-22,True

2022-01-24-19-american,AMERICAN,lafayette,56,69,61.4,Home,2022-01-24,True

2022-01-26-19-american,AMERICAN,holy-cross,67,49,62.4,Home,2022-01-26,True

2022-01-29-14-navy,AMERICAN,navy,45,47,63.9,Away,2022-01-29,True

2022-02-02-19-lafayette,AMERICAN,lafayette,62,71,64.3,Away,2022-02-02,True

2022-02-05-16-american,AMERICAN,colgate,68,86,61.9,Home,2022-02-05,True

2021-11-09-19-iona,APPALACHIAN-STATE,iona,53,65,66.8,Away,2021-11-09,True

2021-11-12-18-appalachian-state,APPALACHIAN-STATE,east-tennessee-state,69,67,62.7,Home,2021-11-12,True

2021-11-15-18-appalachian-state,APPALACHIAN-STATE,William Peace,98,49,72.6,Home,2021-11-15,True

2021-11-18-18-appalachian-state,APPALACHIAN-STATE,charlotte,66,67,65.0,Home,2021-11-18,True

2021-11-22-19-delaware,APPALACHIAN-STATE,delaware,68,75,62.0,Neutral,2021-11-22,True

2021-11-23-13-appalachian-state,APPALACHIAN-STATE,akron,57,45,66.9,Neutral,2021-11-23,True

2021-11-24-13-appalachian-state,APPALACHIAN-STATE,vermont,63,65,59.4,Neutral,2021-11-24,True

2021-11-29-18-appalachian-state,APPALACHIAN-STATE,hartford,69,59,67.2,Home,2021-11-29,True

2021-12-01-19-appalachian-state,APPALACHIAN-STATE,Boyce,90,29,72.2,Home,2021-12-01,True

2021-12-10-19-furman,APPALACHIAN-STATE,furman,65,73,65.7,Away,2021-12-10,True

2021-12-13-18-appalachian-state,APPALACHIAN-STATE,Erskine,69,44,70.9,Home,2021-12-13,True

2021-12-16-19-duke,APPALACHIAN-STATE,duke,67,92,68.2,Away,2021-12-16,True

2021-12-21-19-north-carolina,APPALACHIAN-STATE,north-carolina,50,70,68.3,Away,2021-12-21,True

2021-12-30-18-appalachian-state,APPALACHIAN-STATE,louisiana-lafayette,55,71,66.9,Home,2021-12-30,True

2022-01-01-16-appalachian-state,APPALACHIAN-STATE,louisiana-monroe,77,69,67.6,Home,2022-01-01,True

2022-01-06-20-south-alabama,APPALACHIAN-STATE,south-alabama,72,64,68.8,Away,2022-01-06,True

2022-01-08-17-troy,APPALACHIAN-STATE,troy,53,68,63.9,Away,2022-01-08,True

2022-01-13-18-appalachian-state,APPALACHIAN-STATE,coastal-carolina,61,60,63.0,Home,2022-01-13,True

2022-01-15-14-coastal-carolina,APPALACHIAN-STATE,coastal-carolina,84,76,62.5,Away,2022-01-15,True

2022-01-20-19-georgia-state,APPALACHIAN-STATE,georgia-state,61,60,66.0,Away,2022-01-20,True

2022-01-22-15-georgia-southern,APPALACHIAN-STATE,georgia-southern,70,62,59.9,Away,2022-01-22,True

2022-01-27-18-appalachian-state,APPALACHIAN-STATE,arkansas-state,61,54,68.0,Home,2022-01-27,True

2022-01-29-16-appalachian-state,APPALACHIAN-STATE,arkansas-little-rock,72,57,61.9,Home,2022-01-29,True

2022-02-03-18-texas-state,APPALACHIAN-STATE,texas-state,66,68,60.5,Away,2022-02-03,True

2022-02-05-18-texas-arlington,APPALACHIAN-STATE,texas-arlington,70,61,72.0,Away,2022-02-05,True

2021-11-09-19-arizona-state,ARIZONA-STATE,portland,76,60,77.3,Home,2021-11-09,True

2021-11-11-20-arizona-state,ARIZONA-STATE,california-riverside,65,66,69.5,Home,2021-11-11,True

2021-11-15-21-arizona-state,ARIZONA-STATE,north-florida,72,63,70.3,Home,2021-11-15,True

2021-11-18-22-san-diego-state,ARIZONA-STATE,san-diego-state,63,65,68.9,Away,2021-11-18,True

2021-11-24-19-arizona-state,ARIZONA-STATE,baylor,63,75,69.4,Neutral,2021-11-24,True

2021-11-25-19-syracuse,ARIZONA-STATE,syracuse,84,92,74.0,Neutral,2021-11-25,True

2021-11-26-19-loyola-il,ARIZONA-STATE,loyola-il,59,77,61.8,Neutral,2021-11-26,True

2021-12-01-19-arizona-state,ARIZONA-STATE,washington-state,29,51,68.2,Home,2021-12-01,True

2021-12-05-19-oregon,ARIZONA-STATE,oregon,69,67,64.7,Away,2021-12-05,True

2021-12-09-21-arizona-state,ARIZONA-STATE,grand-canyon,67,62,72.2,Home,2021-12-09,True

2021-12-14-20-creighton,ARIZONA-STATE,creighton,58,57,68.0,Away,2021-12-14,True

2021-12-19-18-arizona-state,ARIZONA-STATE,san-francisco,65,66,74.4,Home,2021-12-19,True

2022-01-02-19-california,ARIZONA-STATE,california,50,74,66.2,Away,2022-01-02,True

2022-01-15-22-arizona-state,ARIZONA-STATE,colorado,57,75,71.3,Home,2022-01-15,True

2022-01-17-16-arizona-state,ARIZONA-STATE,utah,64,62,69.6,Home,2022-01-17,True

